tx,ty,tz,sx,sy,sz,s_roll,s_pitch,s_yaw
-0.0426967591047287,-0.06465575098991394,1.22709321975708,-0.06641450375088087,-0.11261738155610947,1.2328312383169846,1.320504032588483,0.021307789430038394,-0.034564902002013405
-0.04297906160354614,-0.06251244246959686,1.227946162223816,-0.0673375371354452,-0.10852102186442421,1.235219853570413,1.3292560981260313,0.04656991627567895,-0.03689428958607635
-0.0426967479288578,-0.06465578079223633,1.22709321975708,-0.0704390279037692,-0.10764217890477014,1.237967602758822,1.3434565659642306,0.033722714557798586,-0.018947620390182298
-0.04297906160354614,-0.06251246482133865,1.2279460430145264,-0.0638483449263666,-0.10860958907706908,1.2360932403853597,1.3265999967432933,0.014785212076833183,-0.04412310925186681
-0.0426967516541481,-0.06465581059455872,1.2270931005477905,-0.05891624854046807,-0.108848009375543,1.2341851190807505,1.3127416646329617,-0.016740152923333647,-0.05741188318521505
-0.04297906160354614,-0.06251248717308044,1.2279460430145264,-0.061170543322289175,-0.10589502309659243,1.2386711459483206,1.3284362441400095,-0.002016002518649988,-0.05934185062980662
-0.0426967479288578,-0.0646558329463005,1.2270931005477905,-0.061708139694667215,-0.10353341422617321,1.2411725088928844,1.339602925435653,-0.014333300227319845,-0.060927631165755
-0.04297906160354614,-0.06251250952482224,1.2279460430145264,-0.062397875746750826,-0.10215789736627413,1.2439523402360033,1.3473930487033696,-0.03433634724000177,-0.07286822654308363
-0.0426967516541481,-0.0646558329463005,1.2270931005477905,-0.06410852336693618,-0.10076486775127182,1.244737142335148,1.3481884549360041,-0.03131302917325078,-0.0776646068827222
-0.042979057878255844,-0.06251251697540283,1.2279460430145264,-0.06546344822300312,-0.09846262240168789,1.2457936709489132,1.3501483051404202,-0.0075020734202214424,-0.08129734628483398
-0.0426967516541481,-0.0646558552980423,1.2270931005477905,-0.06828425478483889,-0.09336079408266734,1.2444228536807285,1.3504028151079512,-0.00147772874449363,-0.07958230350023852
-0.04297905042767525,-0.06251253932714462,1.2279460430145264,-0.0698809925558555,-0.08853112049852839,1.2369369380133164,1.3369770840716972,-0.010321738599405217,-0.07530808327975677
-0.042696744203567505,-0.0646558627486229,1.2270931005477905,-0.06768156161688797,-0.08857183663022301,1.2310102731341763,1.3293179407392008,-0.014314949878557338,-0.0845506853093103
-0.042974185198545456,-0.06251276284456253,1.2279454469680786,-0.06356421185986942,-0.08832387264868889,1.2302825185607373,1.3251039731294572,-0.0316125838659307,-0.09049587060277009
-0.0426904559135437,-0.06465049088001251,1.2270959615707397,-0.06121602036817038,-0.0874832985885434,1.229725964746582,1.3189004426318156,-0.04500283067030618,-0.10590319537559595
-0.04297309368848801,-0.0625026524066925,1.2279514074325562,-0.06352721675133836,-0.08626363709003255,1.230257164470188,1.3308077713088668,0.004547614615087218,-0.09515285143814031
-0.04269145801663399,-0.06448665261268616,1.227179765701294,-0.06787262220713271,-0.08486896419466526,1.226189962099258,1.3334993974116873,0.026596856347677188,-0.07568026695548717
-0.042974404990673065,-0.0623629093170166,1.2280205488204956,-0.06841332982612924,-0.08257366902985418,1.2170911502909214,1.3080088120320295,0.033247324201021694,-0.07951150726852153
-0.0426926389336586,-0.06452465802431107,1.2271603345870972,-0.07312783171359688,-0.08062453992089805,1.21705343321241,1.313248739308239,0.07480159821534117,-0.06256940955336103
-0.042975444346666336,-0.06239653751254082,1.228003740310669,-0.06985176584416466,-0.08345027239784394,1.219196703834411,1.3081958325444492,0.03385972100575724,-0.07796769015583559
-0.04269355535507202,-0.06455415487289429,1.2271451950073242,-0.06934868805267111,-0.08676107478142533,1.2287210767409917,1.3316749045520908,0.015265766886036527,-0.0805212782836231
-0.0429762564599514,-0.062422603368759155,1.2279908657073975,-0.0641169408274407,-0.09084566134052864,1.2344957577394065,1.337329849841215,-0.022537723175690614,-0.0948417598252647
-0.04269205033779144,-0.0630950853228569,1.227882742881775,-0.059298125907776424,-0.09127666258833389,1.237548742333132,1.3399667969812272,-0.025916264417744722,-0.10801611146823291
-0.04296932741999626,-0.061086125671863556,1.228654384613037,-0.05798536245080659,-0.08929866020134475,1.2366258557520236,1.3300241405366058,-0.02977521030379497,-0.11549856814713241
-0.04268840327858925,-0.06340571492910385,1.2277318239212036,-0.06387373282081592,-0.08662596309160997,1.2367760847258151,1.3378672946901498,0.020201068165218664,-0.09175323006419481
-0.042971521615982056,-0.06140705570578575,1.2284961938858032,-0.06832952415364178,-0.08164555737168576,1.2316944207363978,1.3349626670643104,0.041111829023446955,-0.07782221832599275
-0.04269027337431908,-0.06368695944547653,1.2275890111923218,-0.06985325731544982,-0.0780121558875495,1.227642415598435,1.3344933373847214,0.03911069629732738,-0.07789367267004975
-0.04297075420618057,-0.06165560334920883,1.2283732891082764,-0.07129436249556977,-0.08019366728813701,1.2279399590706217,1.3433119658325123,0.018689917572916912,-0.06565469087068322
-0.04261023923754692,-0.06306911259889603,1.227980613708496,-0.06458434457493993,-0.08252614449514999,1.228904483074988,1.3533272790204398,0.02324774306929599,-0.08617101748719522
-0.04289981722831726,-0.06111053749918938,1.228712558746338,-0.06714799205715477,-0.08021323481285614,1.230181116483888,1.361015416802751,0.07861551735509954,-0.07854449126467222
-0.042626477777957916,-0.06341879069805145,1.2277867794036865,-0.06761434856304746,-0.07938738064840753,1.2280892510887091,1.3584553891783548,0.05276050901424981,-0.07686355553594593
-0.04291453957557678,-0.061416663229465485,1.2285466194152832,-0.0707087180086192,-0.07625534465035019,1.224431296272269,1.35236636944624,0.052064001682665985,-0.0661451718212092
-0.0426420196890831,-0.0636599212884903,1.22765052318573,-0.07412190318153407,-0.07219910131259508,1.2228836646965955,1.3605681009777857,0.09002340516841012,-0.0565974499996433
-0.04292901232838631,-0.0616324208676815,1.2284274101257324,-0.0744301442177307,-0.07124035463613954,1.2183992339666254,1.350343669985455,0.058186005232294565,-0.06229735657077521
